InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice
INV100000,NOTE350,Notebook A4,1,2020-02-21 10:00:48,17.6,C2309,USA,17.6
INV100001,NOTE189,Notebook A4,2,2023-10-17 19:51:22,26.51,C2508,Spain,53.02
INV100002,PEN338,"Pen, Blue Ink",1,2020-07-10 07:57:37,13.11,C1065,Germany,13.11
INV100003,PHONEC818,Phone Charger,1,2021-02-11 23:39:41,20.79,C1054,Germany,20.79
INV100004,HEADPH928,Headphones,1,2023-04-21 10:07:43,17.36,C1451,Germany,17.36
INV100005,MUG448,Coffee Mug,2,2023-11-30 15:23:12,34.26,C2554,United Kingdom,68.52
INV100006,USB489,Usb Flash Drive,4,2020-07-28 03:22:36,4.44,C1440,United Kingdom,17.76
INV100007,USB926,Usb Flash Drive,3,2023-05-21 09:37:51,13.06,C2735,Canada,39.18
INV100008,PHONEC180,Phone Charger,1,2020-09-12 13:46:55,28.0,C1940,United Kingdom,28.0
INV100009,LAMP296,Desk Lamp,2,2022-01-10 21:01:14,20.47,C2698,Australia,40.94
INV100010,BAG975,Reusable Bag,1,2021-08-15 02:54:18,30.49,C1093,Germany,30.49
INV100011,BOOK750,Technical Book,2,2021-07-23 16:30:29,14.26,C1206,United Kingdom,28.52
INV100012,USB786,Usb Flash Drive,2,2021-12-28 07:37:40,26.69,C1333,United Kingdom,53.38
INV100013,NOTE275,Notebook A4,1,2023-06-01 23:07:07,48.17,C2918,United Kingdom,48.17
INV100014,MUG376,Coffee Mug,2,2022-08-04 13:48:55,14.27,C1501,Germany,28.54
INV100015,PHONEC963,Phone Charger,3,2021-03-25 11:48:24,51.15,C2310,United Kingdom,153.45
INV100016,BAG510,Reusable Bag,3,2020-03-06 11:29:07,11.57,C1114,Spain,34.71
INV100017,LAMP771,Desk Lamp,1,2021-10-06 07:44:29,30.04,C1432,Spain,30.04
INV100018,HEADPH242,Headphones,2,2020-10-19 09:38:38,25.85,C2811,USA,51.7
INV100019,PHONEC538,Phone Charger,3,2021-06-22 21:17:02,17.21,C2149,Canada,51.63
INV100020,USB621,Usb Flash Drive,2,2021-03-25 05:02:11,20.08,C1817,United Kingdom,40.16
INV100021,PEN742,"Pen, Blue Ink",3,2020-08-12 05:33:53,9.96,C2547,Germany,29.880000000000003
INV100022,BOOK494,Technical Book,5,2023-05-06 02:18:46,8.46,C2393,France,42.300000000000004
INV100023,PHONEC981,Phone Charger,4,2021-05-29 20:08:32,24.01,C1958,United Kingdom,96.04
INV100024,NOTE868,Notebook A4,2,2023-10-28 19:33:01,35.74,C2393,France,71.48
INV100025,USB545,Usb Flash Drive,3,2020-08-16 10:41:09,30.85,C2312,Germany,92.55000000000001
INV100026,TSHIRT619,Company T-Shirt,2,2022-10-22 06:30:16,6.67,C1006,United Kingdom,13.34
INV100027,TSHIRT723,Company T-Shirt,2,2023-08-01 18:29:00,27.35,C2782,France,54.7
INV100028,MUG100,Coffee Mug,6,2023-01-09 19:18:34,5.06,C1765,Germany,30.36
INV100029,PEN999,"Pen, Blue Ink",2,2020-08-17 13:12:56,27.42,C2000,United Kingdom,54.84
INV100030,TSHIRT346,Company T-Shirt,1,2021-05-05 02:06:32,38.81,C2652,United Kingdom,38.81
INV100031,NOTE935,Notebook A4,2,2020-06-24 17:41:39,59.84,C2939,United Kingdom,119.68
INV100032,PHONEC775,Phone Charger,2,2020-09-14 04:40:28,23.53,C2557,United Kingdom,47.06
INV100033,MUG993,Coffee Mug,2,2021-06-26 19:12:43,40.76,C2125,Germany,81.52
INV100034,BAG830,Reusable Bag,2,2023-01-09 07:19:25,40.45,C2975,Australia,80.9
INV100035,USB562,Usb Flash Drive,1,2022-06-16 18:50:39,20.66,C2375,Canada,20.66
